trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
NEWBURGH-BEACON-WEEKDAY-02,06:25:00,06:25:00,BEACON,2,,0,,
PIER11-PAULUS-WEEKDAY-01,6:24:00,6:24:00,PAULUS,2,,0,,
WFC-HOBOKEN14-WEEKDAY-01,6:24:00,6:24:00,HOBOKEN14STATION,2,,0,,
PIER11-BELFORD-WEEKDAY-01,6:25:00,6:25:00,PIER11,1,,0,,
LIBERTY-PIER11-WEEKDAY-02,6:25:00,6:25:00,PIER11,2,,0,,
PIER11-LIBERTY-WEEKDAY-01,6:25:00,6:25:00,LIBERTYHARBOR,2,,0,,
EDGEWATER-MIDTOWN-WEEKDAY-01,6:28:00,6:28:00,MIDTOWN,2,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-02,6:28:00,6:28:00,MIDTOWN,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-01,6:00:00,6:00:00,IMPERIAL,1,,0,,
BELFORD-WFC-WEEKDAY-02,06:20:00,06:20:00,BELFORD,1,,0,,
BELFORD-PIER11-WEEKDAY-02,06:20:00,06:20:00,BELFORD,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-03,6:30:00,6:30:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-WFC-WEEKDAY-02,6:30:00,6:30:00,IMPERIAL,1,,0,,
LIBERTY-PIER11-WEEKDAY-03,6:30:00,6:30:00,LIBERTYHARBOR,1,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-02,6:30:00,6:30:00,MIDTOWN,1,,0,,
MIDTOWN-PAULUS-WEEKDAY-01,6:30:00,6:30:00,MIDTOWN,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-01,6:08:00,6:08:00,MIDTOWN,2,,0,,
PIER11-LIBERTY-WEEKDAY-02,6:30:00,6:30:00,PIER11,1,,0,,
PIER11-PAULUS-WEEKDAY-02,6:30:00,6:30:00,PIER11,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-02,6:30:00,6:30:00,BPT,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-02,6:30:00,6:30:00,BPT,2,,0,,
PAULUS-PIER11-WEEKDAY-02,6:31:00,6:31:00,PIER11,2,,0,,
WFC-IMPERIAL-WEEKDAY-01,6:31:00,6:31:00,IMPERIAL,2,,0,,
