shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
WFC_BELFORD_shape,40.434021,-74.079995,11,
WFC_BELFORD_shape,40.434838,-74.081755,10,
WFC_BELFORD_shape,40.437659,-74.081261,9,
WFC_BELFORD_shape,40.440619,-74.080349,8,
WFC_BELFORD_shape,40.463013,-74.071283,7,
WFC_BELFORD_shape,40.573609,-74.04253,6,
WFC_BELFORD_shape,40.634278,-74.046135,5,
WFC_BELFORD_shape,40.655769,-74.034977,4,
WFC_BELFORD_shape,40.690726,-74.028711,3,
WFC_BELFORD_shape,40.714541,-74.020214,2,
WFC_BELFORD_shape,40.715159,-74.017661,1,
BELFORD_MIDTOWN_shape,40.433278,-74.078831,1,
BELFORD_MIDTOWN_shape,40.434021,-74.079995,2,
BELFORD_MIDTOWN_shape,40.434838,-74.081755,3,
BELFORD_MIDTOWN_shape,40.437659,-74.081261,4,
BELFORD_MIDTOWN_shape,40.440619,-74.080349,5,
BELFORD_MIDTOWN_shape,40.463013,-74.071283,6,
BELFORD_MIDTOWN_shape,40.573609,-74.04253,7,
BELFORD_MIDTOWN_shape,40.634278,-74.046135,8,
BELFORD_MIDTOWN_shape,40.655769,-74.034977,9,
BELFORD_MIDTOWN_shape,40.690141,-74.028883,10,
BELFORD_MIDTOWN_shape,40.752264,-74.015665,11,
BELFORD_MIDTOWN_shape,40.761723,-74.008155,12,
BELFORD_MIDTOWN_shape,40.760517,-74.003955,13,
MIDTOWN_BELFORD_shape,40.433278,-74.078831,13,
MIDTOWN_BELFORD_shape,40.434021,-74.079995,12,
MIDTOWN_BELFORD_shape,40.434838,-74.081755,11,
MIDTOWN_BELFORD_shape,40.437659,-74.081261,10,
MIDTOWN_BELFORD_shape,40.440619,-74.080349,9,
MIDTOWN_BELFORD_shape,40.463013,-74.071283,8,
MIDTOWN_BELFORD_shape,40.573609,-74.04253,7,
MIDTOWN_BELFORD_shape,40.634278,-74.046135,6,
MIDTOWN_BELFORD_shape,40.655769,-74.034977,5,
MIDTOWN_BELFORD_shape,40.690141,-74.028883,4,
MIDTOWN_BELFORD_shape,40.752264,-74.015665,3,
MIDTOWN_BELFORD_shape,40.761723,-74.008155,2,
MIDTOWN_BELFORD_shape,40.760517,-74.003955,1,
LIBERTE_PIER11_shape,40.687318,-74.075167,1,
LIBERTE_PIER11_shape,40.684389,-74.073172,2,
LIBERTE_PIER11_shape,40.682542,-74.068429,3,
LIBERTE_PIER11_shape,40.691312,-74.030514,4,
LIBERTE_PIER11_shape,40.698763,-74.005194,5,
LIBERTE_PIER11_shape,40.70296,-74.006181,6,
PIER11_LIBERTE_shape,40.687318,-74.075167,6,
PIER11_LIBERTE_shape,40.684389,-74.073172,5,
PIER11_LIBERTE_shape,40.682542,-74.068429,4,
PIER11_LIBERTE_shape,40.691312,-74.030514,3,
PIER11_LIBERTE_shape,40.698763,-74.005194,2,
PIER11_LIBERTE_shape,40.70296,-74.006181,1,
NEWPORT_MIDTOWN_shape,40.727482,-74.029832,1,
NEWPORT_MIDTOWN_shape,40.72682,-74.020675,2,
NEWPORT_MIDTOWN_shape,40.753434,-74.014721,3,
NEWPORT_MIDTOWN_shape,40.762276,-74.008026,4,
NEWPORT_MIDTOWN_shape,40.760553,-74.003863,5,
MIDTOWN_NEWPORT_shape,40.727482,-74.029832,5,
MIDTOWN_NEWPORT_shape,40.72682,-74.020675,4,
MIDTOWN_NEWPORT_shape,40.753434,-74.014721,3,
MIDTOWN_NEWPORT_shape,40.762276,-74.008026,2,
MIDTOWN_NEWPORT_shape,40.760553,-74.003863,1,
LINCOLN_MIDTOWN_shape,40.758664,-74.02266,1,
LINCOLN_MIDTOWN_shape,40.756896,-74.018025,2,
LINCOLN_MIDTOWN_shape,40.761886,-74.007962,3,
LINCOLN_MIDTOWN_shape,40.760553,-74.003863,4,
MIDTOWN_LINCOLN_shape,40.758664,-74.02266,4,
MIDTOWN_LINCOLN_shape,40.756896,-74.018025,3,
MIDTOWN_LINCOLN_shape,40.761886,-74.007962,2,
MIDTOWN_LINCOLN_shape,40.760553,-74.003863,1,
EDGEWATER_MIDTOWN_shape,40.827941,-73.969697,1,
EDGEWATER_MIDTOWN_shape,40.82654,-73.967321,2,
EDGEWATER_MIDTOWN_shape,40.821425,-73.966184,3,
EDGEWATER_MIDTOWN_shape,40.766209,-74.005001,4,
EDGEWATER_MIDTOWN_shape,40.763056,-74.005301,5,
EDGEWATER_MIDTOWN_shape,40.760797,-74.003735,6,
MIDTOWN_EDGEWATER_shape,40.827941,-73.969697,6,
MIDTOWN_EDGEWATER_shape,40.82654,-73.967321,5,
MIDTOWN_EDGEWATER_shape,40.821425,-73.966184,4,
MIDTOWN_EDGEWATER_shape,40.766209,-74.005001,3,
MIDTOWN_EDGEWATER_shape,40.763056,-74.005301,2,
MIDTOWN_EDGEWATER_shape,40.760797,-74.003735,1,
PIER11_LIBERTY_shape,40.703416,-74.006546,1,
PIER11_LIBERTY_shape,40.699511,-74.0047,2,
PIER11_LIBERTY_shape,40.697022,-74.013584,3,
PIER11_LIBERTY_shape,40.700227,-74.024999,4,
PIER11_LIBERTY_shape,40.708816,-74.024999,5,
PIER11_LIBERTY_shape,40.711337,-74.043635,6,
LIBERTY_PIER11_shape,40.703416,-74.006546,6,
LIBERTY_PIER11_shape,40.699511,-74.0047,5,
LIBERTY_PIER11_shape,40.697022,-74.013584,4,
LIBERTY_PIER11_shape,40.700227,-74.024999,3,
LIBERTY_PIER11_shape,40.708816,-74.024999,2,
LIBERTY_PIER11_shape,40.711337,-74.043635,1,
PIER11_PAULUS_shape,40.703416,-74.006546,1,
PIER11_PAULUS_shape,40.699511,-74.0047,2,
PIER11_PAULUS_shape,40.697022,-74.013584,3,
PIER11_PAULUS_shape,40.700227,-74.024999,4,
PIER11_PAULUS_shape,40.708816,-74.024999,5,
PIER11_PAULUS_shape,40.713875,-74.023862,6,
PIER11_PAULUS_shape,40.714655,-74.03178,7,
PIER11_PAULUS_shape,40.713826,-74.032617,8,
PAULUS_PIER11_shape,40.703416,-74.006546,8,
PAULUS_PIER11_shape,40.699511,-74.0047,7,
PAULUS_PIER11_shape,40.697022,-74.013584,6,
PAULUS_PIER11_shape,40.700227,-74.024999,5,
PAULUS_PIER11_shape,40.708816,-74.024999,4,
PAULUS_PIER11_shape,40.713875,-74.023862,3,
PAULUS_PIER11_shape,40.714655,-74.03178,2,
PAULUS_PIER11_shape,40.713826,-74.032617,1,
PIER11_HOBOKENNJTT_shape,40.703416,-74.006546,1,
PIER11_HOBOKENNJTT_shape,40.699511,-74.0047,2,
PIER11_HOBOKENNJTT_shape,40.697022,-74.013584,3,
PIER11_HOBOKENNJTT_shape,40.700227,-74.024999,4,
PIER11_HOBOKENNJTT_shape,40.708816,-74.024999,5,
PIER11_HOBOKENNJTT_shape,40.733226,-74.019356,6,
PIER11_HOBOKENNJTT_shape,40.734153,-74.027359,7,
HOBOKENNJTT_PIER11_shape,40.703416,-74.006546,7,
HOBOKENNJTT_PIER11_shape,40.699511,-74.0047,6,
HOBOKENNJTT_PIER11_shape,40.697022,-74.013584,5,
HOBOKENNJTT_PIER11_shape,40.700227,-74.024999,4,
HOBOKENNJTT_PIER11_shape,40.708816,-74.024999,3,
HOBOKENNJTT_PIER11_shape,40.733226,-74.019356,2,
HOBOKENNJTT_PIER11_shape,40.734153,-74.027359,1,
PIER11_IMPERIAL_shape,40.703416,-74.006546,1,
PIER11_IMPERIAL_shape,40.699511,-74.0047,2,
PIER11_IMPERIAL_shape,40.697022,-74.013584,3,
PIER11_IMPERIAL_shape,40.700227,-74.024999,4,
PIER11_IMPERIAL_shape,40.708816,-74.024999,5,
PIER11_IMPERIAL_shape,40.751613,-74.015536,6,
PIER11_IMPERIAL_shape,40.773034,-74.002833,7,
PIER11_IMPERIAL_shape,40.776366,-74.010054,8,
IMPERIAL_PIER11_shape,40.703416,-74.006546,8,
IMPERIAL_PIER11_shape,40.699511,-74.0047,7,
IMPERIAL_PIER11_shape,40.697022,-74.013584,6,
IMPERIAL_PIER11_shape,40.700227,-74.024999,5,
IMPERIAL_PIER11_shape,40.708816,-74.024999,4,
IMPERIAL_PIER11_shape,40.751613,-74.015536,3,
IMPERIAL_PIER11_shape,40.773034,-74.002833,2,
IMPERIAL_PIER11_shape,40.776366,-74.010054,1,
HOBOKENNJTT_WFC_shape,40.734153,-74.027295,1,
HOBOKENNJTT_WFC_shape,40.733145,-74.01927,2,
HOBOKENNJTT_WFC_shape,40.715956,-74.022982,3,
HOBOKENNJTT_WFC_shape,40.715188,-74.017677,4,
WFC_HOBOKENNJTT_shape,40.734153,-74.027295,4,
WFC_HOBOKENNJTT_shape,40.733145,-74.01927,3,
WFC_HOBOKENNJTT_shape,40.715956,-74.022982,2,
WFC_HOBOKENNJTT_shape,40.715188,-74.017677,1,
HOBOKEN14_MIDTOWN_shape,40.752581,-74.022113,1,
HOBOKEN14_MIDTOWN_shape,40.751597,-74.015558,2,
HOBOKEN14_MIDTOWN_shape,40.761918,-74.007897,3,
HOBOKEN14_MIDTOWN_shape,40.760553,-74.003842,4,
MIDTOWN_HOBOKEN14_shape,40.752581,-74.022113,4,
MIDTOWN_HOBOKEN14_shape,40.751597,-74.015558,3,
MIDTOWN_HOBOKEN14_shape,40.761918,-74.007897,2,
MIDTOWN_HOBOKEN14_shape,40.760553,-74.003842,1,
HOBOKEN14_WFC_shape,40.752581,-74.022113,1,
HOBOKEN14_WFC_shape,40.751597,-74.015558,2,
HOBOKEN14_WFC_shape,40.715875,-74.023089,3,
HOBOKEN14_WFC_shape,40.715188,-74.017693,4,
WFC_HOBOKEN14_shape,40.752581,-74.022113,4,
WFC_HOBOKEN14_shape,40.751597,-74.015558,3,
WFC_HOBOKEN14_shape,40.715875,-74.023089,2,
WFC_HOBOKEN14_shape,40.715188,-74.017693,1,
PAULUS_WFC_shape,40.713793,-74.032692,1,
PAULUS_WFC_shape,40.71472,-74.031318,2,
PAULUS_WFC_shape,40.713826,-74.023765,3,
PAULUS_WFC_shape,40.715184,-74.017661,4,
WFC_PAULUS_shape,40.713793,-74.032692,4,
WFC_PAULUS_shape,40.71472,-74.031318,3,
WFC_PAULUS_shape,40.713826,-74.023765,2,
WFC_PAULUS_shape,40.715184,-74.017661,1,
PAULUS_MIDTOWN_shape,40.713793,-74.032692,1,
PAULUS_MIDTOWN_shape,40.71472,-74.031318,2,
PAULUS_MIDTOWN_shape,40.713826,-74.023765,3,
PAULUS_MIDTOWN_shape,40.751581,-74.015236,4,
PAULUS_MIDTOWN_shape,40.762081,-74.008327,5,
PAULUS_MIDTOWN_shape,40.760309,-74.004024,6,
MIDTOWN_PAULUS_shape,40.713793,-74.032692,6,
MIDTOWN_PAULUS_shape,40.71472,-74.031318,5,
MIDTOWN_PAULUS_shape,40.713826,-74.023765,4,
MIDTOWN_PAULUS_shape,40.751581,-74.015236,3,
MIDTOWN_PAULUS_shape,40.762081,-74.008327,2,
MIDTOWN_PAULUS_shape,40.760309,-74.004024,1,
IMPERIAL_MIDTOWN_shape,40.776357,-74.010075,1,
IMPERIAL_MIDTOWN_shape,40.772571,-74.001836,2,
IMPERIAL_MIDTOWN_shape,40.762439,-74.00897,3,
IMPERIAL_MIDTOWN_shape,40.760496,-74.003885,4,
MIDTOWN_IMPERIAL_shape,40.776357,-74.010075,4,
MIDTOWN_IMPERIAL_shape,40.772571,-74.001836,3,
MIDTOWN_IMPERIAL_shape,40.762439,-74.00897,2,
MIDTOWN_IMPERIAL_shape,40.760496,-74.003885,1,
IMPERIAL_WFC_shape,40.776357,-74.010075,1,
IMPERIAL_WFC_shape,40.772571,-74.001836,2,
IMPERIAL_WFC_shape,40.751841,-74.015408,3,
IMPERIAL_WFC_shape,40.715777,-74.023175,4,
IMPERIAL_WFC_shape,40.715159,-74.017596,5,
WFC_IMPERIAL_shape,40.776357,-74.010075,5,
WFC_IMPERIAL_shape,40.772571,-74.001836,4,
WFC_IMPERIAL_shape,40.751841,-74.015408,3,
WFC_IMPERIAL_shape,40.715777,-74.023175,2,
WFC_IMPERIAL_shape,40.715159,-74.017596,1,
OSSINING_HAVERSTRAW_shape,41.157138,-73.87044,1,
OSSINING_HAVERSTRAW_shape,41.156443,-73.873079,2,
OSSINING_HAVERSTRAW_shape,41.166685,-73.904386,3,
OSSINING_HAVERSTRAW_shape,41.195577,-73.945434,4,
OSSINING_HAVERSTRAW_shape,41.192719,-73.958223,5,
HAVERSTRAW_OSSINING_shape,41.157138,-73.87044,5,
HAVERSTRAW_OSSINING_shape,41.156443,-73.873079,4,
HAVERSTRAW_OSSINING_shape,41.166685,-73.904386,3,
HAVERSTRAW_OSSINING_shape,41.195577,-73.945434,2,
HAVERSTRAW_OSSINING_shape,41.192719,-73.958223,1,
NEWBURGH_BEACON_shape,41.500864,-74.005119,1,
NEWBURGH_BEACON_shape,41.501081,-73.997405,2,
NEWBURGH_BEACON_shape,41.505468,-73.990721,3,
NEWBURGH_BEACON_shape,41.505717,-73.98615,4,
BEACON_NEWBURGH_shape,41.500864,-74.005119,4,
BEACON_NEWBURGH_shape,41.501081,-73.997405,3,
BEACON_NEWBURGH_shape,41.505468,-73.990721,2,
BEACON_NEWBURGH_shape,41.505717,-73.98615,1,
ERF_weekend_south_shape,40.743924,-73.97069,1,
ERF_weekend_south_shape,40.743599,-73.968287,2,
ERF_weekend_south_shape,40.7429,-73.964446,3,
ERF_weekend_south_shape,40.741746,-73.961055,4,
ERF_weekend_south_shape,40.741112,-73.962793,5,
ERF_weekend_south_shape,40.739584,-73.964789,6,
ERF_weekend_south_shape,40.73799,-73.965862,7,
ERF_weekend_south_shape,40.735698,-73.965969,8,
ERF_weekend_south_shape,40.732543,-73.965368,9,
ERF_weekend_south_shape,40.732056,-73.964381,10,
ERF_weekend_south_shape,40.731698,-73.961699,11,
ERF_weekend_south_shape,40.73095,-73.963737,12,
ERF_weekend_south_shape,40.728088,-73.965518,13,
ERF_weekend_south_shape,40.723584,-73.965862,14,
